fixed acidity,volatile acidity,citric acid,residual sugar,quality
9.1,0.22,0.24,2.1,6
8.1,0.825,0.24,2.1,6
12.9,0.35,0.49,5.8,7
9.5,0.46,0.49,6.3,6
11.2,0.66,0.24,2.5,6
14.3,0.31,0.74,1.8,6
7.5,0.55,0.24,2.0,6
10.6,0.31,0.49,2.5,6
12.4,0.35,0.49,2.6,6
6.8,0.51,0.01,2.1,6
9.4,0.43,0.24,2.8,6
9.5,0.46,0.24,2.7,6
10.9,0.53,0.49,4.6,6
13.0,0.47,0.49,4.3,6
7.6,0.29,0.49,2.7,6
13.0,0.47,0.49,4.3,6
8.7,0.7,0.24,2.5,6
9.8,0.5,0.49,2.6,6
6.2,0.36,0.24,2.2,6
11.5,0.35,0.49,3.3,6
9.9,0.5,0.24,2.3,4
10.6,0.31,0.49,2.2,6
12.0,0.28,0.49,1.9,7
6.6,0.39,0.49,1.7,6
12.4,0.4,0.51,2.0,6
8.5,0.585,0.18,2.1,6
8.3,0.58,0.13,2.9,6
8.8,0.48,0.41,3.3,6
10.1,0.65,0.37,5.1,6
6.3,0.36,0.19,3.2,6
7.5,0.64,0.0,2.4,6
11.5,0.31,0.51,2.2,6
8.7,0.54,0.26,2.5,6
8.7,0.54,0.26,2.5,6
7.6,0.41,0.14,3.0,6
10.1,0.935,0.22,3.4,4
8.9,0.29,0.35,1.9,6
8.3,0.845,0.01,2.2,4
8.7,0.48,0.3,2.8,7
6.7,0.42,0.27,8.6,6
9.4,0.33,0.59,2.8,6
12.0,0.5,0.59,1.4,7
7.2,0.52,0.07,1.4,6
7.2,0.52,0.07,1.4,6
7.2,0.57,0.06,1.6,6
8.3,0.49,0.36,1.8,6
11.3,0.34,0.45,2.0,6
11.3,0.34,0.45,2.0,6
10.8,0.4,0.41,2.2,6
8.0,0.45,0.23,2.2,6
5.1,0.47,0.02,1.3,6
7.0,0.65,0.02,2.1,6
11.8,0.38,0.55,2.1,6
10.6,1.02,0.43,2.9,6
7.0,0.65,0.02,2.1,6
7.0,0.64,0.02,2.1,6
7.5,0.38,0.48,2.6,4
9.1,0.765,0.04,1.6,4
7.8,0.545,0.12,2.5,6
8.1,0.72,0.09,2.8,6
6.4,0.865,0.03,3.2,6
8.2,0.59,0.0,2.5,6
8.3,0.76,0.29,4.2,6
7.3,0.51,0.18,2.1,6
8.2,0.34,0.38,2.5,6
7.2,0.5,0.18,2.1,6
7.3,0.51,0.18,2.1,6
7.8,0.48,0.68,1.7,6
7.8,0.91,0.07,1.9,6
6.3,0.98,0.01,2.0,6
8.8,0.7,0.0,1.7,6
9.1,0.68,0.11,2.8,6
9.2,0.67,0.1,3.0,6
7.1,0.59,0.02,2.3,6
7.1,0.59,0.02,2.3,6
7.9,0.4,0.29,1.8,6
6.9,0.635,0.17,2.4,6
7.0,0.57,0.0,2.0,6
10.0,0.56,0.24,2.2,6
10.0,0.56,0.24,2.2,6
7.4,0.37,0.43,2.6,6
7.1,0.61,0.02,2.5,6
10.1,0.27,0.54,2.3,6
9.3,0.37,0.44,1.6,7
9.4,0.5,0.34,3.6,6
5.1,0.585,0.0,1.7,7
7.7,0.56,0.08,2.5,6
8.4,0.52,0.22,2.7,6
8.4,0.25,0.39,2.0,7
7.6,0.48,0.31,2.8,6
12.9,0.5,0.55,2.8,6
6.9,0.39,0.24,2.1,4
12.6,0.41,0.54,2.8,6
4.9,0.42,0.0,2.1,7
7.5,0.27,0.34,2.3,7
7.5,0.685,0.07,2.5,4
5.9,0.61,0.08,2.1,6
11.6,0.47,0.44,1.6,4
6.7,0.28,0.28,2.4,7
6.7,0.28,0.28,2.4,7
10.1,0.31,0.35,1.6,7
10.6,0.5,0.45,2.6,6
7.4,0.68,0.16,1.8,6
9.3,0.36,0.39,1.5,6
9.3,0.36,0.39,1.5,6
9.3,0.36,0.39,1.5,6
8.2,0.26,0.34,2.5,7
11.7,0.28,0.47,1.7,7
7.3,0.35,0.24,2.0,4
8.8,0.31,0.4,2.8,7
7.7,0.715,0.01,2.1,6
7.6,0.715,0.0,2.1,6
8.4,0.31,0.29,3.1,6
8.8,0.61,0.19,4.0,6
9.0,0.8,0.12,2.4,6
6.8,0.57,0.0,2.5,6
10.1,0.45,0.23,1.9,6
7.2,0.63,0.03,2.2,6
7.1,0.59,0.01,2.3,6
8.3,0.31,0.39,2.4,7
7.1,0.59,0.01,2.3,6
8.3,0.31,0.39,2.4,7
7.4,0.635,0.1,2.4,7
7.4,0.635,0.1,2.4,7
6.8,0.59,0.06,6.0,7
6.1,0.56,0.0,2.2,6
7.4,0.52,0.13,2.4,6
9.3,0.38,0.48,3.8,6
9.1,0.28,0.46,9.0,6
10.0,0.46,0.44,2.9,6
8.6,0.315,0.4,2.2,6
6.8,0.41,0.31,8.8,6
8.4,0.36,0.32,2.2,6
8.4,0.62,0.12,1.8,6
8.4,0.62,0.12,1.8,6
8.6,0.22,0.36,1.9,7
9.4,0.24,0.33,2.3,6
8.4,0.67,0.19,2.2,4
8.7,0.33,0.38,3.3,7
7.6,0.4,0.29,1.9,6
8.8,0.3,0.38,2.3,6
9.9,0.27,0.49,5.0,7
10.1,0.43,0.4,2.6,7
8.3,0.3,0.49,3.8,7
10.2,0.44,0.58,4.1,7
8.3,0.28,0.48,2.1,7
8.9,0.12,0.45,1.8,7
8.9,0.12,0.45,1.8,7
8.3,0.28,0.48,2.1,7
8.2,0.31,0.4,2.2,7
10.2,0.34,0.48,2.1,7
9.0,0.36,0.52,2.1,6
6.4,0.57,0.12,2.3,7
8.5,0.47,0.27,1.9,6
8.5,0.47,0.27,1.9,6
9.0,0.4,0.43,2.4,6
10.4,0.26,0.48,1.9,6
8.8,0.33,0.41,5.9,7
7.0,0.4,0.32,3.6,7
9.1,0.5,0.3,1.9,6
7.3,0.52,0.32,2.1,6
9.1,0.5,0.3,1.9,6
7.4,0.58,0.0,2.0,6
9.7,0.295,0.4,1.5,6
7.7,0.6,0.06,2.0,6
8.9,0.84,0.34,1.4,6
6.4,0.69,0.0,1.65,6
7.5,0.43,0.3,2.2,7
6.8,0.36,0.32,1.8,7
9.1,0.29,0.33,2.05,7
9.1,0.3,0.34,2.0,7
8.9,0.35,0.4,3.6,7
8.9,0.28,0.45,1.7,7
8.9,0.32,0.31,2.0,6
7.5,0.71,0.0,1.6,6
8.0,0.58,0.16,2.0,6
8.9,0.38,0.4,2.2,7
8.0,0.18,0.37,0.9,6
11.3,0.36,0.66,2.4,6
11.3,0.36,0.66,2.4,6
8.2,0.32,0.42,2.3,6
7.7,0.58,0.01,1.8,7
8.6,0.83,0.0,2.8,6
7.9,0.31,0.32,1.9,6
7.7,0.58,0.01,1.8,7
8.9,0.745,0.18,2.5,6
10.1,0.37,0.34,2.4,7
7.6,0.31,0.34,2.5,7
8.7,0.41,0.41,6.2,7
8.9,0.5,0.21,2.2,6
6.9,0.49,0.19,1.7,6
6.4,0.39,0.33,3.3,6
6.9,0.44,0.0,1.4,6
7.6,0.78,0.0,1.7,6
9.3,0.49,0.36,1.7,6
9.3,0.5,0.36,1.8,6
8.3,0.33,0.42,2.3,7
8.2,0.64,0.27,2.0,6
8.9,0.48,0.53,4.0,7
9.9,0.53,0.57,2.4,7
8.9,0.48,0.53,4.0,7
11.6,0.23,0.57,1.8,6
8.0,0.38,0.44,1.9,6
10.2,0.29,0.65,2.4,6
8.2,0.74,0.09,2.0,6
7.7,0.61,0.18,2.4,6
6.6,0.52,0.08,2.4,7
11.1,0.31,0.53,2.2,7
9.3,0.33,0.45,1.5,7
8.0,0.62,0.33,2.7,6
9.9,0.32,0.56,2.0,6
7.9,0.3,0.68,8.3,7
7.9,0.3,0.68,8.3,7
7.2,0.38,0.3,1.8,6
8.7,0.42,0.45,2.4,6
8.5,0.34,0.4,4.7,7
7.9,0.19,0.42,1.6,6
11.6,0.41,0.54,1.5,7
11.6,0.41,0.54,1.5,7
7.9,0.34,0.42,2.0,6
7.0,0.54,0.09,2.0,6
9.2,0.31,0.36,2.2,7
6.6,0.725,0.09,5.5,6
6.6,0.725,0.09,5.5,6
8.4,0.34,0.42,2.1,6
7.4,0.49,0.27,2.1,6
7.4,0.49,0.27,2.1,6
8.0,0.48,0.34,2.2,6
9.1,0.3,0.41,2.0,7
10.8,0.47,0.43,2.1,6
8.3,0.53,0.0,1.4,6
5.4,0.42,0.27,2.0,7
7.9,0.33,0.41,1.5,6
5.0,0.4,0.5,4.3,6
7.0,0.69,0.07,2.5,6
7.0,0.69,0.07,2.5,6
7.0,0.69,0.07,2.5,6
7.1,0.39,0.12,2.1,6
6.3,0.47,0.0,1.4,6
8.8,0.24,0.35,1.7,7
6.3,0.76,0.0,2.9,6
9.1,0.6,0.0,1.9,6
7.4,0.36,0.34,1.8,7
7.2,0.48,0.07,5.5,7
8.5,0.28,0.35,1.7,7
8.0,0.25,0.43,1.7,6
10.4,0.52,0.45,2.0,6
8.2,0.51,0.24,2.0,6
7.3,0.4,0.3,1.7,6
8.2,0.38,0.32,2.5,6
6.9,0.45,0.11,2.4,6
7.0,0.22,0.3,1.8,6
8.2,0.2,0.43,2.5,6
7.8,0.5,0.12,1.8,6
10.0,0.41,0.45,6.2,7
7.8,0.39,0.42,2.0,6
10.0,0.35,0.47,2.0,6
6.1,0.58,0.23,2.5,6
9.6,0.42,0.35,2.1,6
8.5,0.18,0.51,1.75,7
5.1,0.51,0.18,2.1,7
8.5,0.32,0.42,2.3,7
8.2,0.33,0.39,2.5,7
6.5,0.34,0.27,2.8,6
7.6,0.5,0.29,2.3,6
9.2,0.36,0.34,1.6,6
9.7,0.42,0.46,2.1,6
7.6,0.36,0.31,1.7,6
7.6,0.36,0.31,1.7,6
6.5,0.61,0.0,2.2,6
6.5,0.88,0.03,5.6,4
8.2,0.35,0.33,2.4,6
8.8,0.955,0.05,1.8,4
9.1,0.4,0.57,4.6,6
7.2,0.25,0.37,2.5,7
7.0,0.745,0.12,1.8,6
6.2,0.43,0.22,1.8,6
7.7,0.57,0.21,1.5,6
7.7,0.26,0.26,2.0,6
7.9,0.58,0.23,2.3,6
7.7,0.57,0.21,1.5,6
7.9,0.34,0.36,1.9,7
7.2,0.36,0.46,2.1,7
7.2,0.36,0.46,2.1,7
7.2,0.36,0.46,2.1,7
6.2,0.39,0.43,2.0,7
6.8,0.65,0.02,2.1,6
6.8,0.65,0.02,2.1,6
10.2,0.33,0.46,1.9,6
7.9,0.57,0.31,2.0,6
9.0,0.39,0.4,1.3,6
10.9,0.32,0.52,1.8,6
10.9,0.32,0.52,1.8,6
12.6,0.39,0.49,2.5,6
5.1,0.42,0.0,1.8,7
7.7,0.18,0.34,2.7,6
7.1,0.75,0.01,2.2,6
7.8,0.55,0.0,1.7,6
7.1,0.75,0.01,2.2,6
8.1,0.73,0.0,2.5,4
6.5,0.67,0.0,4.3,4
7.1,0.6,0.01,2.3,6
7.0,0.58,0.28,4.8,6
6.8,0.64,0.0,2.7,6
6.3,1.02,0.0,2.0,4
8.5,0.37,0.32,1.8,6
7.2,0.57,0.05,2.3,6
7.2,0.57,0.05,2.3,6
10.4,0.43,0.5,2.3,6
6.9,0.41,0.31,2.0,6
5.0,0.38,0.01,1.6,6
7.3,0.44,0.2,1.6,6
7.8,0.58,0.13,2.1,6
8.0,0.715,0.22,2.3,6
8.5,0.4,0.4,6.3,4
7.0,0.69,0.0,1.9,6
8.0,0.715,0.22,2.3,6
9.8,0.3,0.39,1.7,7
7.1,0.46,0.2,1.9,6
7.1,0.46,0.2,1.9,6
7.9,0.765,0.0,2.0,6
8.7,0.63,0.28,2.7,6
8.2,0.635,0.1,2.1,6
5.9,0.395,0.13,2.4,6
7.2,0.53,0.14,2.1,6
5.7,0.6,0.0,1.4,6
5.2,0.645,0.0,2.15,6
6.7,0.86,0.07,2.0,6
9.1,0.37,0.32,2.1,6
6.5,0.51,0.15,3.0,6
7.5,0.63,0.27,2.0,6
5.4,0.74,0.0,1.2,6
9.1,0.76,0.68,1.7,6
5.0,0.74,0.0,1.2,6
6.7,0.46,0.24,1.7,6
6.7,0.46,0.24,1.7,6
6.7,0.46,0.24,1.7,6
6.7,0.46,0.24,1.7,6
7.4,0.6,0.26,2.1,6
7.4,0.6,0.26,2.1,6
8.4,0.39,0.1,1.7,6
6.6,0.58,0.02,2.4,6
7.5,0.51,0.02,1.7,6
7.5,0.51,0.02,1.7,6
7.5,0.51,0.02,1.7,6
7.5,0.51,0.02,1.7,6
8.2,0.44,0.24,2.3,6
7.2,0.62,0.01,2.3,6
7.3,0.43,0.24,2.5,6
11.6,0.475,0.4,1.4,6
11.6,0.475,0.4,1.4,6
7.2,0.605,0.02,1.9,6
6.9,0.54,0.3,2.2,6
8.0,0.77,0.32,2.1,6
7.5,0.58,0.56,3.1,6
7.2,0.45,0.15,2.0,6
7.5,0.57,0.02,2.6,6
7.5,0.57,0.02,2.6,6
6.0,0.49,0.0,2.3,6
8.6,0.685,0.1,1.6,6
7.2,0.67,0.0,2.2,6
7.6,0.3,0.42,2.0,6
8.0,0.5,0.39,2.6,6
8.2,0.24,0.34,5.1,6
6.0,0.51,0.0,2.1,6
8.1,0.29,0.36,2.2,7
6.0,0.51,0.0,2.1,6
6.6,0.96,0.0,1.8,6
6.4,0.47,0.4,2.4,6
8.2,0.24,0.34,5.1,6
7.3,0.34,0.33,2.5,7
7.0,0.54,0.0,2.1,6
6.4,0.53,0.09,3.9,4
7.6,0.43,0.31,2.1,6
6.1,0.4,0.16,1.8,7
10.2,0.54,0.37,15.4,6
7.3,0.67,0.02,2.2,6
7.4,0.785,0.19,5.2,6
7.2,0.37,0.32,2.0,7
7.8,0.32,0.44,2.7,7
6.6,0.58,0.02,2.0,7
11.7,0.45,0.63,2.2,6
6.5,0.9,0.0,1.6,6
7.9,0.2,0.35,1.7,7
6.4,0.42,0.09,2.3,6
6.2,0.785,0.0,2.1,4
6.9,0.63,0.01,2.4,6
7.3,0.48,0.32,2.1,7
6.7,1.04,0.08,2.3,4
7.3,0.48,0.32,2.1,7
7.6,0.35,0.6,2.6,6
5.3,0.47,0.11,2.2,7
5.3,0.47,0.11,2.2,7
5.6,0.62,0.03,1.5,4
7.1,0.22,0.49,1.8,6
6.4,0.31,0.09,1.4,7
7.0,0.43,0.02,1.9,6
6.9,0.74,0.03,2.3,6
6.9,0.74,0.03,2.3,6
6.2,0.44,0.39,2.5,6
7.5,0.38,0.57,2.3,6
6.8,0.81,0.05,2.0,6
7.5,0.38,0.57,2.3,6
7.1,0.27,0.6,2.1,6
6.4,0.36,0.21,2.2,6
6.9,0.84,0.21,4.1,6
6.9,0.84,0.21,4.1,6
6.5,0.53,0.06,2.0,6
6.8,0.47,0.08,2.2,6
7.9,0.29,0.49,2.2,6
7.1,0.69,0.08,2.1,6
6.6,0.44,0.09,2.2,6
7.2,0.53,0.13,2.0,6
6.6,0.56,0.14,2.4,7
7.0,0.55,0.13,2.2,6
6.2,0.52,0.08,4.4,6
8.4,0.37,0.43,2.3,7
6.5,0.63,0.33,1.8,6
6.3,0.68,0.01,3.7,6
7.0,0.56,0.17,1.7,7
6.6,0.855,0.02,2.4,6
6.7,0.67,0.02,1.9,6
6.7,0.16,0.64,2.1,6
6.2,0.51,0.14,1.9,6
6.4,0.36,0.53,2.2,6
6.4,0.38,0.14,2.2,6
6.0,0.58,0.2,2.4,6
7.5,0.52,0.4,2.2,6
8.0,0.3,0.63,1.6,6
6.2,0.7,0.15,5.1,6
6.8,0.67,0.15,1.8,6
7.4,0.35,0.33,2.4,6
6.7,0.32,0.44,2.4,7
7.5,0.31,0.41,2.4,6
5.8,0.61,0.11,1.8,6
6.3,0.55,0.15,1.8,6
5.4,0.74,0.09,1.7,6
6.3,0.51,0.13,2.3,6
6.8,0.62,0.08,1.9,6
5.9,0.55,0.1,2.2,6
